POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
977,22,Seavey Ledge,43.97276667,-69.166,,Y,,Y
978,22,Seavey Ledge North,43.97551667,-69.1652,,Y,,Y
979,22,Seavey Ledge South,43.97098333,-69.1677,,Y,,Y
388,9,Second Island Ledge,44.15142,-68.710335,,Y,,Y
130,4,Seguin Ledge 2,44.51684167,-67.53856667,,Y,,Y
131,4,Seguin Ledge 2 A,44.514755,-67.53464,,Y,,Y
663,15,Seguin Ledges 1,43.72229333,-69.75460667,Y,Y,,Y
773,21,Seven Humdred Acre Island,44.24281667,-68.95545,,Y,,Y
178,5,Shabbit Island,44.50733333,-67.68303333,,Y,,Y
179,5,Shabbit Island Ledge,44.51173333,-67.67408333,,Y,,Y
389,9,Shabby Island,44.16696,-68.559945,Y,Y,,Y
390,9,Shabby Island Ledge,44.16847,-68.55905,,Y,,Y
95,3,Shag Island,44.56191833,-67.47302667,,Y,,Y
243,6,Shag Island 2,44.52208333,-67.80737333,,Y,,Y
728,16,Shag Ledge 1,43.88625,-69.2892,,Y,,Y
244,6,Shag Ledge 3,44.456,-67.991,,Y,,Y
70,2,Shag Ledge 5,44.58796667,-67.41553333,,Y,,Y
903,19,Shag Rock,44.01311667,-68.77591667,,Y,,Y
530,27,Shag Rock 9,43.00531833,-70.60698167,,Y,,Y
729,16,Shark Ledge,43.84553333,-69.35811667,Y,Y,,Y
600,13,Sheep Inlet,43.80845167,-69.88136333,Y,Y,,Y
904,19,Sheep Island 6,44.1792,-68.7953,,Y,,Y
324,8,Sheep Island 7,44.21240641,-68.4654541,,Y,,Y
325,8,Sheep Island Ledge,44.21182861,-68.46324056,,Y,,Y
391,9,Sheep Island Ledge,44.179325,-68.603605,,Y,,Y
919,20,Sheep Island Ledge 1,44.37056667,-68.76366667,,Y,,Y
920,20,Sheep Island Ledge 2,44.36711667,-68.76876667,,Y,,Y
392,9,Sheep Island Ledge 3,44.173145,-68.59940667,,Y,,Y
132,4,Sheep Island Ledges 3 and 8,44.51417667,-67.57118333,,Y,,Y
980,22,Sheep Island Shoals,44.05688333,-69.04783333,,Y,,Y
393,9,Sheep Rock,44.17041,-68.6038,,Y,,Y
833,18,Sheephead Island Ledge,44.19508333,-68.72413333,,Y,,Y
394,9,Sheldrake Ledge,44.171635,-68.59151167,,Y,,Y
